num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
12,12,3,0,0,0,0,0,0
130,88,30,0,0,5,9,1,0
81,60,23,1,1,0,6,0,0
918,420,271,11,2,5,68,1,0
179,95,55,0,0,1,29,0,0
413,206,113,1,1,3,18,1,0
242,140,95,0,0,1,4,0,0
652,273,221,0,0,0,37,1,0
33,27,9,0,0,0,1,0,0
35,34,8,0,0,0,5,0,1
103,73,35,0,0,0,3,0,1
78,57,30,0,0,0,5,0,1
152,91,43,0,0,0,8,0,1
224,127,56,6,3,2,24,1,1
104,81,34,0,0,0,4,0,1
1011,504,317,0,0,0,123,0,1
58,45,24,0,0,0,1,0,1
40,40,4,0,0,0,8,0,1
209,121,71,0,0,1,4,0,0
37,35,8,0,0,0,5,0,1
236,129,57,2,1,9,21,0,0
18,16,8,0,0,0,1,0,0
416,240,129,0,0,9,21,0,0
367,168,132,0,0,0,17,1,1
13,11,5,0,0,0,0,0,1
39,33,11,0,0,0,12,0,1
36,31,16,0,0,0,2,0,0
84,38,38,0,0,0,1,0,0
299,190,110,0,0,0,4,0,1
51,48,10,0,0,0,6,0,0
41,34,14,0,0,0,3,0,1
56,44,13,0,0,0,7,0,0
788,265,126,0,0,0,64,0,0
110,80,44,0,0,0,5,0,0
848,231,323,0,0,0,69,0,0
60,46,11,0,0,0,8,0,0
46,38,12,0,0,0,8,0,1
54,46,19,0,0,0,4,0,0
1595,647,376,5,5,0,189,2,0
33,25,8,0,0,0,0,0,1
64,46,16,1,1,0,10,0,0
38,23,7,0,0,0,13,0,1
6,6,2,0,0,0,0,0,0
54,52,4,0,0,0,4,0,1
24,19,11,0,0,0,0,0,0
170,59,10,0,0,0,67,0,1
40,33,16,0,0,0,3,0,0
65,43,14,0,0,0,3,0,1
272,175,91,1,1,0,14,0,1
38,36,13,0,0,0,5,0,1
130,88,20,0,0,0,39,0,0
207,138,83,0,0,0,3,0,1
35,28,5,0,0,0,12,0,1
159,115,49,0,0,0,7,1,0
203,130,48,0,0,1,23,0,0
109,85,39,0,0,0,4,0,0
1245,478,515,2,1,0,47,0,0
565,170,120,3,1,0,73,0,0
576,263,238,0,0,0,6,1,1
103,71,25,0,0,1,10,0,0
1059,322,334,0,0,0,28,0,0
155,92,42,0,0,0,16,1,0
220,127,75,0,0,0,25,1,0
698,290,198,0,0,0,7,2,1
617,226,182,1,1,7,89,0,0
113,77,16,0,0,0,29,0,0
194,113,69,1,1,0,7,0,1
210,138,59,0,0,1,23,0,0
143,97,39,0,0,1,22,0,0
553,286,216,0,0,0,15,3,1
40,38,8,0,0,0,2,0,1
63,57,21,0,0,0,4,0,0
190,102,68,2,1,0,17,1,0
10537,2245,3349,4,4,0,334,3,0
25,22,9,0,0,0,2,0,0
153,96,41,0,0,2,16,1,0
3117,968,358,0,0,3,771,1,0
27,25,9,0,0,0,1,0,0
108,81,38,0,0,0,7,0,1
115,76,42,0,0,0,7,0,0
38,30,14,0,0,0,5,0,0
66,50,20,1,1,0,5,0,0
156,103,58,1,1,0,1,1,1
11152,1988,3305,0,0,0,446,5,0
735,268,340,0,0,0,11,2,1
42,35,8,0,0,2,3,0,0
294,151,118,0,0,0,12,0,0
85,67,25,0,0,0,9,0,1
146,79,33,0,0,0,32,0,0
79,59,28,2,2,3,10,0,1
35,29,19,0,0,0,0,0,1
23,22,9,0,0,0,3,0,0
114,79,36,0,0,0,1,1,0
422,263,129,1,1,0,13,1,0
92,64,31,1,1,1,13,1,0
17,17,4,0,0,0,1,0,0
13,13,3,0,0,0,1,0,0
222,142,87,0,0,0,9,2,0
136,87,38,0,0,0,40,0,0
156,115,47,0,0,4,17,0,0
93,66,36,0,0,0,8,0,0
297,140,91,0,0,0,23,1,0
52,44,16,0,0,0,2,0,1
385,206,158,0,0,0,6,0,0
712,301,36,0,0,0,306,1,0
397,205,150,0,0,0,20,0,0
13,13,4,0,0,0,1,0,0
38,35,6,0,0,0,1,0,1
53,47,11,0,0,0,2,0,1
232,142,79,1,1,4,14,0,0
46,43,10,0,0,0,14,0,1
29,26,8,0,0,0,2,0,0
62,54,10,0,0,0,11,0,1
28,27,8,1,1,0,1,0,1
174,171,10,0,0,0,12,0,1
33,27,7,0,0,0,6,0,0
186,123,56,0,0,0,4,0,1
137,81,49,0,0,0,4,1,0
2241,867,544,10,9,6,172,2,0
63,50,22,0,0,0,0,0,0
172,101,50,0,0,0,28,0,0
1540,523,541,0,0,7,93,1,0
885,256,107,0,0,4,94,0,0
133,103,33,0,0,0,13,0,0
36,33,14,0,0,0,0,0,0
63,54,21,0,0,0,7,0,0
226,160,56,3,3,1,13,1,1
842,344,372,0,0,0,23,1,1
70,49,14,3,3,3,17,0,1
54,52,1,0,0,0,3,0,1
249,126,36,0,0,20,28,0,0
144,77,47,0,0,0,23,0,0
135,103,40,0,0,2,7,0,0
425,219,115,1,1,30,72,1,0
47,45,11,0,0,1,5,0,0
89,62,37,0,0,0,0,0,0
17,16,4,0,0,0,1,0,0
19,19,4,0,0,0,0,0,1
20,20,4,0,0,0,1,0,0
74,56,34,0,0,0,2,0,0
611,281,148,1,1,19,66,2,0
267,158,104,0,0,0,9,0,0
143,98,43,1,1,0,26,0,0
55,47,26,0,0,0,5,0,0
108,66,35,0,0,0,9,0,0
133,81,30,0,0,0,18,1,0
184,108,60,1,1,0,4,1,1
561,216,179,1,1,0,24,0,0
146,75,28,0,0,5,24,0,0
45,43,10,0,0,0,2,1,1
54,46,11,0,0,0,6,0,0
25,24,5,0,0,0,3,0,1
42,34,20,0,0,0,0,0,0
116,90,27,0,0,0,10,1,1
105,77,44,0,0,0,4,0,0
19,18,3,0,0,0,3,0,1
241,145,76,0,0,0,41,1,0
249,163,77,0,0,0,4,2,1
155,114,29,3,3,1,14,0,0
114,75,31,0,0,0,9,0,1
44,38,15,1,1,0,3,0,1
51,39,24,0,0,0,2,0,0
148,147,9,0,0,0,10,0,1
118,78,30,0,0,0,9,0,0
37,28,0,0,0,0,20,0,1
80,65,33,0,0,0,7,0,1
53,46,14,0,0,0,6,0,1
401,194,123,6,1,1,10,1,1
31,26,7,1,1,0,4,0,0
8,8,0,0,0,0,4,0,1
86,66,24,0,0,0,5,0,1
116,68,46,1,1,0,2,1,0
67,64,7,0,0,0,16,0,1
62,54,21,0,0,0,3,0,1
76,59,10,0,0,0,13,0,0
192,116,59,0,0,0,16,1,1
610,330,170,0,0,0,34,0,1
167,110,70,0,0,0,4,0,0
50,33,8,0,0,5,12,0,0
27,27,6,1,1,0,3,0,0
196,138,53,2,1,1,7,0,0
11,10,0,0,0,0,2,0,0
181,121,34,0,0,0,24,1,1
217,125,76,0,0,0,18,0,0
172,110,59,0,0,0,9,0,0
58,52,14,0,0,0,3,0,0
58,48,20,0,0,0,1,0,0
68,62,8,0,0,0,12,0,1
991,379,275,12,1,1,42,2,0
332,211,84,0,0,0,33,0,1
21,17,5,0,0,0,2,0,1
61,49,29,0,0,0,7,0,0
213,106,73,0,0,10,32,0,0
124,77,29,0,0,3,7,0,0
166,102,54,4,3,0,4,1,1
850,462,35,0,0,0,269,1,0
363,212,112,0,0,0,9,0,1
624,335,170,0,0,2,16,1,0
65,51,11,0,0,2,14,0,0
16,16,2,0,0,0,2,0,1
131,79,37,5,3,2,13,0,0
40,31,16,0,0,0,0,0,0
96,67,30,0,0,3,7,0,0
